# k, delta_cdm, delta_b, delta_g, delta_nu, delta_num, delta_tot, delta_nonu, delta_tot_nodm, phi, v_cdm, v_b, v_b_cdm
6.77215084e-03 4.91651291e+02 4.91291142e+02 -1.22247753e-01 -1.24507636e-01 0.00000000e+00 4.91447966e+02 4.91572474e+02 4.91447966e+02 1.15247460e-05 2.23014132e+02 2.22850767e+02 1.63364296e-01
6.85834095e-03 4.89865532e+02 4.89498518e+02 -1.18760852e-01 -1.20956281e-01 0.00000000e+00 4.89661655e+02 4.89782611e+02 4.89661655e+02 1.14828558e-05 2.22204107e+02 2.22037629e+02 1.66478416e-01
6.94456112e-03 4.88084561e+02 4.87710630e+02 -1.15409050e-01 -1.17542511e-01 0.00000000e+00 4.87880121e+02 4.87997664e+02 4.87880121e+02 1.14410775e-05 2.21396255e+02 2.21226639e+02 1.69615893e-01
7.03081075e-03 4.86308642e+02 4.85927739e+02 -1.12184343e-01 -1.14258202e-01 0.00000000e+00 4.86103630e+02 4.86217888e+02 4.86103630e+02 1.13994175e-05 2.20590694e+02 2.20417916e+02 1.72778265e-01
7.11708932e-03 4.84538289e+02 4.84150368e+02 -1.09079200e-01 -1.11095702e-01 0.00000000e+00 4.84332696e+02 4.84443791e+02 4.84332696e+02 1.13578879e-05 2.19787658e+02 2.19611696e+02 1.75961807e-01
7.20339634e-03 4.82771269e+02 4.82376278e+02 -1.06095418e-01 -1.08056709e-01 0.00000000e+00 4.82565085e+02 4.82673142e+02 4.82565085e+02 1.13164362e-05 2.18986134e+02 2.18806965e+02 1.79169219e-01
7.28973133e-03 4.81010767e+02 4.80608662e+02 -1.03216546e-01 -1.05124661e-01 0.00000000e+00 4.80803983e+02 4.80909108e+02 4.80803983e+02 1.12751371e-05 2.18187566e+02 2.18005170e+02 1.82395850e-01
7.37609388e-03 4.79253635e+02 4.78844364e+02 -1.00447835e-01 -1.02304721e-01 0.00000000e+00 4.79046242e+02 4.79148547e+02 4.79046242e+02 1.12339169e-05 2.17390527e+02 2.17204881e+02 1.85646232e-01
7.46248358e-03 4.77502233e+02 4.77085754e+02 -9.77768548e-02 -9.95843620e-02 0.00000000e+00 4.77294223e+02 4.77393807e+02 4.77294223e+02 1.11928308e-05 2.16596087e+02 2.16407171e+02 1.88915894e-01
7.54890009e-03 4.75756552e+02 4.75332812e+02 -9.51986732e-02 -9.69585653e-02 0.00000000e+00 4.75547914e+02 4.75644873e+02 4.75547914e+02 1.11518787e-05 2.15804242e+02 2.15612033e+02 1.92209125e-01
7.63534305e-03 4.74014322e+02 4.73583277e+02 -9.27165737e-02 -9.44305419e-02 0.00000000e+00 4.73805049e+02 4.73899479e+02 4.73805049e+02 1.11110073e-05 2.15013963e+02 2.14818440e+02 1.95522969e-01
7.72181217e-03 4.72277712e+02 4.71839316e+02 -9.03193248e-02 -9.19889768e-02 0.00000000e+00 4.72067794e+02 4.72159783e+02 4.72067794e+02 1.10702675e-05 2.14226233e+02 2.14027375e+02 1.98857469e-01
7.80830716e-03 4.70545779e+02 4.70099983e+02 -8.80057849e-02 -8.96326588e-02 0.00000000e+00 4.70335208e+02 4.70424841e+02 4.70335208e+02 1.10296372e-05 2.13440624e+02 2.13238410e+02 2.02214042e-01
7.89482778e-03 4.68818926e+02 4.68365686e+02 -8.57712587e-02 -8.73568241e-02 0.00000000e+00 4.68607693e+02 4.68695049e+02 4.68607693e+02 1.09891258e-05 2.12657320e+02 2.12451729e+02 2.05590453e-01
7.98137380e-03 4.67097762e+02 4.66637034e+02 -8.36102953e-02 -8.51559551e-02 0.00000000e+00 4.66885858e+02 4.66971014e+02 4.66885858e+02 1.09487477e-05 2.11876596e+02 2.11667609e+02 2.08987142e-01
8.06794501e-03 4.65379416e+02 4.64911162e+02 -8.15281973e-02 -8.30353021e-02 0.00000000e+00 4.65166835e+02 4.65249870e+02 4.65166835e+02 1.09084354e-05 2.11097150e+02 2.10884749e+02 2.12400976e-01
8.15454124e-03 4.63668356e+02 4.63192534e+02 -7.95085331e-02 -8.09783624e-02 0.00000000e+00 4.63455088e+02 4.63536066e+02 4.63455088e+02 1.08682938e-05 2.10321009e+02 2.10105176e+02 2.15833740e-01
8.24116232e-03 4.61959751e+02 4.61476330e+02 -7.75624431e-02 -7.89962358e-02 0.00000000e+00 4.61745791e+02 4.61824787e+02 4.61745791e+02 1.08282097e-05 2.09545983e+02 2.09326702e+02 2.19280829e-01
8.32780812e-03 4.60257807e+02 4.59766750e+02 -7.56751418e-02 -7.70740730e-02 0.00000000e+00 4.60043147e+02 4.60120221e+02 4.60043147e+02 1.07882816e-05 2.08773977e+02 2.08551232e+02 2.22744542e-01
8.41447853e-03 4.58560892e+02 4.58062168e+02 -7.38486108e-02 -7.52138108e-02 0.00000000e+00 4.58345525e+02 4.58420739e+02 4.58345525e+02 1.07484713e-05 2.08004252e+02 2.07778030e+02 2.26222398e-01
8.50117345e-03 4.56867050e+02 4.56360628e+02 -7.20852991e-02 -7.34178566e-02 0.00000000e+00 4.56650971e+02 4.56724389e+02 4.56650971e+02 1.07087329e-05 2.07235922e+02 2.07006208e+02 2.29714129e-01
8.58789280e-03 4.55178894e+02 4.54664745e+02 -7.03758719e-02 -7.16768242e-02 0.00000000e+00 4.54962097e+02 4.55033774e+02 4.54962097e+02 1.06691277e-05 2.06470171e+02 2.06236951e+02 2.33219219e-01
8.67463653e-03 4.53496035e+02 4.52974129e+02 -6.87193126e-02 -6.99896561e-02 0.00000000e+00 4.53278513e+02 4.53348502e+02 4.53278513e+02 1.06296465e-05 2.05706822e+02 2.05470084e+02 2.36737994e-01
8.76140459e-03 4.51818286e+02 4.51288589e+02 -6.71137337e-02 -6.83544250e-02 0.00000000e+00 4.51600032e+02 4.51668387e+02 4.51600032e+02 1.05902851e-05 2.04945791e+02 2.04705519e+02 2.40271936e-01
8.84819698e-03 4.50144286e+02 4.49606771e+02 -6.55606044e-02 -6.67725656e-02 0.00000000e+00 4.49925295e+02 4.49992068e+02 4.49925295e+02 1.05510114e-05 2.04186461e+02 2.03942643e+02 2.43817942e-01
8.93501368e-03 4.48475155e+02 4.47929786e+02 -6.40548439e-02 -6.52389574e-02 0.00000000e+00 4.48255420e+02 4.48320659e+02 4.48255420e+02 1.05118518e-05 2.03429339e+02 2.03181959e+02 2.47380796e-01
9.02185471e-03 4.46811633e+02 4.46258383e+02 -6.25928612e-02 -6.37499732e-02 0.00000000e+00 4.46591147e+02 4.46654897e+02 4.46591147e+02 1.04728235e-05 2.02674762e+02 2.02423807e+02 2.50955086e-01
9.10872010e-03 4.45151502e+02 4.44590350e+02 -6.11783694e-02 -6.23092990e-02 0.00000000e+00 4.44930262e+02 4.44992571e+02 4.44930262e+02 1.04338747e-05 2.01921723e+02 2.01667183e+02 2.54539764e-01
9.19560990e-03 4.43496853e+02 4.42927764e+02 -5.98041690e-02 -6.09096978e-02 0.00000000e+00 4.43274851e+02 4.43335761e+02 4.43274851e+02 1.03950543e-05 2.01171171e+02 2.00913030e+02 2.58140162e-01
9.28252417e-03 4.41847359e+02 4.41270304e+02 -5.84697733e-02 -5.95506545e-02 0.00000000e+00 4.41624589e+02 4.41684140e+02 4.41624589e+02 1.03563546e-05 2.00422956e+02 2.00161203e+02 2.61753263e-01
9.36946300e-03 4.40201748e+02 4.39616716e+02 -5.71769381e-02 -5.82339004e-02 0.00000000e+00 4.39978207e+02 4.40036441e+02 4.39978207e+02 1.03177459e-05 1.99676503e+02 1.99411131e+02 2.65371782e-01
9.45642647e-03 4.38561778e+02 4.37968745e+02 -5.59194972e-02 -5.69532362e-02 0.00000000e+00 4.38337461e+02 4.38394414e+02 4.38337461e+02 1.02792693e-05 1.98932609e+02 1.98663608e+02 2.69001413e-01
9.54341469e-03 4.36925243e+02 4.36324180e+02 -5.47008366e-02 -5.57120273e-02 0.00000000e+00 4.36700143e+02 4.36755855e+02 4.36700143e+02 1.02408732e-05 1.98190273e+02 1.97917630e+02 2.72643439e-01
9.63042780e-03 4.35293985e+02 4.34684875e+02 -5.35162526e-02 -5.45055420e-02 0.00000000e+00 4.35068100e+02 4.35122605e+02 4.35068100e+02 1.02026008e-05 1.97450331e+02 1.97174038e+02 2.76293470e-01
9.71746592e-03 4.33667597e+02 4.33050424e+02 -5.23648311e-02 -5.33328427e-02 0.00000000e+00 4.33440921e+02 4.33494254e+02 4.33440921e+02 1.01644424e-05 1.96712598e+02 1.96432647e+02 2.79950887e-01
9.80452922e-03 4.32045618e+02 4.31420367e+02 -5.12466836e-02 -5.21940200e-02 0.00000000e+00 4.31818148e+02 4.31870342e+02 4.31818148e+02 1.01263874e-05 1.95976864e+02 1.95693249e+02 2.83615373e-01
9.89161787e-03 4.30420548e+02 4.29787198e+02 -5.01743128e-02 -5.11015679e-02 0.00000000e+00 4.30192282e+02 4.30243384e+02 4.30192282e+02 1.00882598e-05 1.95239729e+02 1.94952440e+02 2.87288936e-01
9.97873204e-03 4.28815111e+02 4.28173642e+02 -4.91034633e-02 -5.00111678e-02 0.00000000e+00 4.28586040e+02 4.28636051e+02 4.28586040e+02 1.00505924e-05 1.94511499e+02 1.94220527e+02 2.90971836e-01
1.00658719e-02 4.27207221e+02 4.26557622e+02 -4.80754372e-02 -4.89641443e-02 0.00000000e+00 4.26977343e+02 4.27026307e+02 4.26977343e+02 1.00128675e-05 1.93782157e+02 1.93487497e+02 2.94659433e-01
1.01530378e-02 4.25603792e+02 4.24946055e+02 -4.70756386e-02 -4.79458688e-02 0.00000000e+00 4.25373105e+02 4.25421051e+02 4.25373105e+02 9.97524712e-06 1.93054838e+02 1.92756487e+02 2.98350795e-01
1.02402298e-02 4.24004807e+02 4.23338913e+02 -4.61033861e-02 -4.69556424e-02 0.00000000e+00 4.23773307e+02 4.23820263e+02 4.23773307e+02 9.93773086e-06 1.92329534e+02 1.92027484e+02 3.02050824e-01
1.03274482e-02 4.22410388e+02 4.21736333e+02 -4.51572846e-02 -4.59920519e-02 0.00000000e+00 4.22178073e+02 4.22224065e+02 4.22178073e+02 9.90032164e-06 1.91606303e+02 1.91300550e+02 3.05752850e-01
1.04146932e-02 4.20813401e+02 4.20131173e+02 -4.42489081e-02 -4.50666674e-02 0.00000000e+00 4.20580270e+02 4.20625337e+02 4.20580270e+02 9.86285217e-06 1.90881906e+02 1.90572446e+02 3.09460125e-01
1.05019652e-02 4.19235216e+02 4.18544801e+02 -4.33403238e-02 -4.41415029e-02 0.00000000e+00 4.19001260e+02 4.19045402e+02 4.19001260e+02 9.82582342e-06 1.90166037e+02 1.89852864e+02 3.13173538e-01
1.05892643e-02 4.17654169e+02 4.16955561e+02 -4.24681650e-02 -4.32532140e-02 0.00000000e+00 4.17419389e+02 4.17462642e+02 4.17419389e+02 9.78872756e-06 1.89448871e+02 1.89131981e+02 3.16889862e-01
1.06765910e-02 4.16077744e+02 4.15370943e+02 -4.16186464e-02 -4.23879877e-02 0.00000000e+00 4.15842139e+02 4.15884527e+02 4.15842139e+02 9.75174007e-06 1.88733801e+02 1.88413194e+02 3.20606567e-01
1.07639455e-02 4.14506503e+02 4.13791493e+02 -4.07900939e-02 -4.15441351e-02 0.00000000e+00 4.14270068e+02 4.14311612e+02 4.14270068e+02 9.71487404e-06 1.88021082e+02 1.87696752e+02 3.24330005e-01
1.08513281e-02 4.12932772e+02 4.12209546e+02 -3.99939328e-02 -4.07330798e-02 0.00000000e+00 4.12695506e+02 4.12736239e+02 4.12695506e+02 9.67794962e-06 1.87307234e+02 1.86979177e+02 3.28056996e-01
1.09387392e-02 4.11376587e+02 4.10645156e+02 -3.91980012e-02 -3.99226161e-02 0.00000000e+00 4.11138487e+02 4.11178410e+02 4.11138487e+02 9.64143657e-06 1.86601345e+02 1.86269567e+02 3.31778540e-01
1.10261791e-02 4.09818052e+02 4.09078399e+02 -3.84325177e-02 -3.91429805e-02 0.00000000e+00 4.09579117e+02 4.09618260e+02 4.09579117e+02 9.60486839e-06 1.85894391e+02 1.85558882e+02 3.35508206e-01
1.11136481e-02 4.08264182e+02 4.07516319e+02 -3.76863859e-02 -3.83830547e-02 0.00000000e+00 4.08024412e+02 4.08062795e+02 4.08024412e+02 9.56840960e-06 1.85189551e+02 1.84850319e+02 3.39232096e-01
1.12011468e-02 4.06714283e+02 4.05958211e+02 -3.69595997e-02 -3.76428213e-02 0.00000000e+00 4.06473677e+02 4.06511319e+02 4.06473677e+02 9.53204392e-06 1.84486514e+02 1.84143558e+02 3.42955991e-01
1.12886753e-02 4.05168817e+02 4.04404531e+02 -3.62509467e-02 -3.69210567e-02 0.00000000e+00 4.04927372e+02 4.04964293e+02 4.04927372e+02 9.49578214e-06 1.83785487e+02 1.83438805e+02 3.46681940e-01
1.13762343e-02 4.03628717e+02 4.02856218e+02 -3.55584856e-02 -3.62158073e-02 0.00000000e+00 4.03386433e+02 4.03422648e+02 4.03386433e+02 9.45964617e-06 1.83086894e+02 1.82736487e+02 3.50407391e-01
1.14638240e-02 4.02085699e+02 4.01304993e+02 -3.48934580e-02 -3.55383164e-02 0.00000000e+00 4.01842577e+02 4.01878115e+02 4.01842577e+02 9.42344182e-06 1.82386978e+02 1.82032848e+02 3.54129788e-01
1.15514450e-02 4.00560713e+02 3.99771807e+02 -3.42255961e-02 -3.48582768e-02 0.00000000e+00 4.00316749e+02 4.00351607e+02 4.00316749e+02 9.38766023e-06 1.81695241e+02 1.81337391e+02 3.57849487e-01
1.16390976e-02 3.99027006e+02 3.98229895e+02 -3.35920263e-02 -3.42128429e-02 0.00000000e+00 3.98782202e+02 3.98816414e+02 3.98782202e+02 9.35167416e-06 1.80999548e+02 1.80637977e+02 3.61571271e-01
1.17267824e-02 3.97510629e+02 3.96705333e+02 -3.29561922e-02 -3.35654134e-02 0.00000000e+00 3.97264982e+02 3.97298548e+02 3.97264982e+02 9.31609445e-06 1.80311716e+02 1.79946432e+02 3.65284202e-01
1.18144997e-02 3.95991451e+02 3.95177971e+02 -3.23451285e-02 -3.29430416e-02 0.00000000e+00 3.95744962e+02 3.95777906e+02 3.95744962e+02 9.28044907e-06 1.79622613e+02 1.79253617e+02 3.68996390e-01
1.19022502e-02 3.94477187e+02 3.93655535e+02 -3.17482116e-02 -3.23350857e-02 0.00000000e+00 3.94229857e+02 3.94262192e+02 3.94229857e+02 9.24491894e-06 1.78935739e+02 1.78563036e+02 3.72702905e-01
1.19900344e-02 3.92967803e+02 3.92137986e+02 -3.11643915e-02 -3.17404863e-02 0.00000000e+00 3.92719633e+02 3.92751373e+02 3.92719633e+02 9.20950326e-06 1.78251080e+02 1.77874673e+02 3.76407132e-01
1.20778526e-02 3.91454856e+02 3.90616876e+02 -3.06044528e-02 -3.11700318e-02 0.00000000e+00 3.91205845e+02 3.91237015e+02 3.91205845e+02 9.17400404e-06 1.77564803e+02 1.77184694e+02 3.80109422e-01
1.21657056e-02 3.89960583e+02 3.89114462e+02 -3.00396694e-02 -3.05949605e-02 0.00000000e+00 3.89710730e+02 3.89741325e+02 3.89710730e+02 9.13894269e-06 1.76886998e+02 1.76503196e+02 3.83802222e-01
1.22535938e-02 3.88458276e+02 3.87604023e+02 -2.95031837e-02 -3.00484405e-02 0.00000000e+00 3.88207585e+02 3.88237633e+02 3.88207585e+02 9.10369303e-06 1.76205548e+02 1.75818057e+02 3.87491037e-01
1.23415179e-02 3.86971918e+02 3.86109542e+02 -2.89650631e-02 -2.95005034e-02 0.00000000e+00 3.86720386e+02 3.86749886e+02 3.86720386e+02 9.06881731e-06 1.75531333e+02 1.75140157e+02 3.91175533e-01
1.24294783e-02 3.85478788e+02 3.84608312e+02 -2.84523859e-02 -2.89782474e-02 0.00000000e+00 3.85226420e+02 3.85255398e+02 3.85226420e+02 9.03378292e-06 1.74854046e+02 1.74459196e+02 3.94849933e-01
1.25174758e-02 3.83994704e+02 3.83116149e+02 -2.79460511e-02 -2.84625471e-02 0.00000000e+00 3.83741500e+02 3.83769963e+02 3.83741500e+02 8.99896067e-06 1.74180862e+02 1.73782347e+02 3.98514657e-01
1.26055110e-02 3.82520133e+02 3.81633500e+02 -2.74448579e-02 -2.79521938e-02 0.00000000e+00 3.82266091e+02 3.82294043e+02 3.82266091e+02 8.96436144e-06 1.73511993e+02 1.73109814e+02 4.02178351e-01
1.26935844e-02 3.81044891e+02 3.80150205e+02 -2.69607790e-02 -2.74591668e-02 0.00000000e+00 3.80790015e+02 3.80817475e+02 3.80790015e+02 8.92974658e-06 1.72842820e+02 1.72436988e+02 4.05831645e-01
1.27816968e-02 3.79568626e+02 3.78665917e+02 -2.64937267e-02 -2.69833730e-02 0.00000000e+00 3.79312922e+02 3.79339905e+02 3.79312922e+02 8.89510785e-06 1.72173183e+02 1.71763712e+02 4.09470704e-01
1.28698489e-02 3.78106649e+02 3.77195923e+02 -2.60255776e-02 -2.65066650e-02 0.00000000e+00 3.77850113e+02 3.77876619e+02 3.77850113e+02 8.86080411e-06 1.71510027e+02 1.71096919e+02 4.13107495e-01
1.29580413e-02 3.76635590e+02 3.75716884e+02 -2.55828007e-02 -2.60555337e-02 0.00000000e+00 3.76378230e+02 3.76404285e+02 3.76378230e+02 8.82628757e-06 1.70842751e+02 1.70426024e+02 4.16727145e-01
1.30462747e-02 3.75185831e+02 3.74259152e+02 -2.51311323e-02 -2.55956758e-02 0.00000000e+00 3.74927642e+02 3.74953238e+02 3.74927642e+02 8.79227042e-06 1.70185137e+02 1.69764793e+02 4.20343665e-01
1.31345498e-02 3.73733115e+02 3.72798496e+02 -2.46972206e-02 -2.51537617e-02 0.00000000e+00 3.73474104e+02 3.73499258e+02 3.73474104e+02 8.75818409e-06 1.69526182e+02 1.69102237e+02 4.23945192e-01
1.32228675e-02 3.72282701e+02 3.71340161e+02 -2.42744950e-02 -2.47232087e-02 0.00000000e+00 3.72022870e+02 3.72047593e+02 3.72022870e+02 8.72415178e-06 1.68868271e+02 1.68440733e+02 4.27538155e-01
1.33112285e-02 3.70830314e+02 3.69879880e+02 -2.38675426e-02 -2.43086047e-02 0.00000000e+00 3.70569667e+02 3.70593976e+02 3.70569667e+02 8.69007332e-06 1.68209465e+02 1.67778346e+02 4.31119230e-01
1.33996336e-02 3.69391535e+02 3.68433233e+02 -2.34598405e-02 -2.38934062e-02 0.00000000e+00 3.69130072e+02 3.69153966e+02 3.69130072e+02 8.65631396e-06 1.67556831e+02 1.67122144e+02 4.34687628e-01
1.34880836e-02 3.67959881e+02 3.66993731e+02 -2.30577122e-02 -2.34839383e-02 0.00000000e+00 3.67697604e+02 3.67721088e+02 3.67697604e+02 8.62272173e-06 1.66907430e+02 1.66469182e+02 4.38247623e-01
1.35765793e-02 3.66520090e+02 3.65546139e+02 -2.26765936e-02 -2.30956483e-02 0.00000000e+00 3.66257008e+02 3.66280104e+02 3.66257008e+02 8.58893890e-06 1.66254337e+02 1.65812551e+02 4.41786177e-01
1.36651216e-02 3.65098326e+02 3.64116571e+02 -2.22897360e-02 -2.27017569e-02 0.00000000e+00 3.64834434e+02 3.64857136e+02 3.64834434e+02 8.55557868e-06 1.65609422e+02 1.65164096e+02 4.45326160e-01
1.37537114e-02 3.63675193e+02 3.62685690e+02 -2.19168263e-02 -2.23219672e-02 0.00000000e+00 3.63410500e+02 3.63432822e+02 3.63410500e+02 8.52218659e-06 1.64963886e+02 1.64515045e+02 4.48840752e-01
1.38423495e-02 3.62249977e+02 3.61252765e+02 -2.15577872e-02 -2.19561979e-02 0.00000000e+00 3.61984490e+02 3.62006446e+02 3.61984490e+02 8.48874581e-06 1.64317405e+02 1.63865067e+02 4.52337481e-01
1.39310368e-02 3.60839798e+02 3.59834888e+02 -2.11956945e-02 -2.15875041e-02 0.00000000e+00 3.60573513e+02 3.60595101e+02 3.60573513e+02 8.45565757e-06 1.63677744e+02 1.63221915e+02 4.55829222e-01
1.40197744e-02 3.59421815e+02 3.58409258e+02 -2.08522973e-02 -2.12376532e-02 0.00000000e+00 3.59154744e+02 3.59175982e+02 3.59154744e+02 8.42238660e-06 1.63034544e+02 1.62575246e+02 4.59298328e-01
1.41085631e-02 3.58013195e+02 3.56993006e+02 -2.05111253e-02 -2.08901552e-02 0.00000000e+00 3.57745337e+02 3.57766227e+02 3.57745337e+02 8.38933516e-06 1.62395591e+02 1.61932831e+02 4.62760115e-01
1.41974040e-02 3.56617473e+02 3.55589700e+02 -2.01693439e-02 -2.05421701e-02 0.00000000e+00 3.56348831e+02 3.56369373e+02 3.56348831e+02 8.35658628e-06 1.61762488e+02 1.61296288e+02 4.66200030e-01
1.42862981e-02 3.55211742e+02 3.54176418e+02 -1.98468977e-02 -2.02136580e-02 0.00000000e+00 3.54942326e+02 3.54962539e+02 3.54942326e+02 8.32360289e-06 1.61124846e+02 1.60655220e+02 4.69625554e-01
1.43752464e-02 3.53816588e+02 3.52773742e+02 -1.95252792e-02 -1.98860907e-02 0.00000000e+00 3.53546398e+02 3.53566284e+02 3.53546398e+02 8.29086755e-06 1.60492000e+02 1.60018963e+02 4.73037495e-01
1.44642499e-02 3.52427323e+02 3.51377006e+02 -1.92089984e-02 -1.95639799e-02 0.00000000e+00 3.52156365e+02 3.52175929e+02 3.52156365e+02 8.25827047e-06 1.59861827e+02 1.59385401e+02 4.76426026e-01
1.45533098e-02 3.51041413e+02 3.49983657e+02 -1.88996618e-02 -1.92489306e-02 0.00000000e+00 3.50769692e+02 3.50788941e+02 3.50769692e+02 8.22575216e-06 1.59233175e+02 1.58753374e+02 4.79800710e-01
1.46424272e-02 3.49659995e+02 3.48594852e+02 -1.85962051e-02 -1.89398746e-02 0.00000000e+00 3.49387517e+02 3.49406457e+02 3.49387517e+02 8.19333934e-06 1.58606560e+02 1.58123409e+02 4.83151316e-01
1.47316032e-02 3.48282030e+02 3.47209526e+02 -1.82991992e-02 -1.86373805e-02 0.00000000e+00 3.48008799e+02 3.48027437e+02 3.48008799e+02 8.16100760e-06 1.57981513e+02 1.57495022e+02 4.86490402e-01
1.48208390e-02 3.46907968e+02 3.45828145e+02 -1.80083941e-02 -1.83411958e-02 0.00000000e+00 3.46633989e+02 3.46652330e+02 3.46633989e+02 8.12876748e-06 1.57358235e+02 1.56868425e+02 4.89810176e-01
1.49101357e-02 3.45544687e+02 3.44457588e+02 -1.77182063e-02 -1.80457293e-02 0.00000000e+00 3.45269964e+02 3.45288009e+02 3.45269964e+02 8.09678029e-06 1.56739848e+02 1.56246737e+02 4.93110635e-01
1.49994946e-02 3.44172735e+02 3.43078425e+02 -1.74437883e-02 -1.77661450e-02 0.00000000e+00 3.43897280e+02 3.43915046e+02 3.43897280e+02 8.06459004e-06 1.56117527e+02 1.55621145e+02 4.96381535e-01
1.50889170e-02 3.42811924e+02 3.41710422e+02 -1.71688144e-02 -1.74860992e-02 0.00000000e+00 3.42535737e+02 3.42553223e+02 3.42535737e+02 8.03266106e-06 1.55500260e+02 1.55000616e+02 4.99643792e-01
1.51784042e-02 3.41454206e+02 3.40345565e+02 -1.69002273e-02 -1.72125393e-02 0.00000000e+00 3.41177295e+02 3.41194508e+02 3.41177295e+02 8.00080480e-06 1.54884396e+02 1.54381514e+02 5.02882131e-01
1.52679574e-02 3.40101451e+02 3.38985720e+02 -1.66362600e-02 -1.69436944e-02 0.00000000e+00 3.39823822e+02 3.39840765e+02 3.39823822e+02 7.96906505e-06 1.54270783e+02 1.53764685e+02 5.06097918e-01
1.53575780e-02 3.38758804e+02 3.37636041e+02 -1.63730218e-02 -1.66756679e-02 0.00000000e+00 3.38480463e+02 3.38497138e+02 3.38480463e+02 7.93756249e-06 1.53661756e+02 1.53152468e+02 5.09287873e-01
1.54472674e-02 3.37409143e+02 3.36279384e+02 -1.61226594e-02 -1.64206152e-02 0.00000000e+00 3.37130098e+02 3.37146519e+02 3.37130098e+02 7.90589564e-06 1.53049547e+02 1.52537085e+02 5.12461593e-01
1.55370269e-02 3.36072836e+02 3.34936118e+02 -1.58705627e-02 -1.61639114e-02 0.00000000e+00 3.35793089e+02 3.35809253e+02 3.35793089e+02 7.87454199e-06 1.52443395e+02 1.51927777e+02 5.15618090e-01
1.56268582e-02 3.34736622e+02 3.33592987e+02 -1.56256671e-02 -1.59144971e-02 0.00000000e+00 3.34456178e+02 3.34472093e+02 3.34456178e+02 7.84319065e-06 1.51837285e+02 1.51318529e+02 5.18755391e-01
1.57167626e-02 3.33399934e+02 3.32249470e+02 -1.53891273e-02 -1.56735275e-02 0.00000000e+00 3.33118809e+02 3.33134482e+02 3.33118809e+02 7.81182856e-06 1.51230960e+02 1.50709107e+02 5.21853205e-01
1.58067416e-02 3.32076487e+02 3.30919231e+02 -1.51505901e-02 -1.54306371e-02 0.00000000e+00 3.31794683e+02 3.31810113e+02 3.31794683e+02 7.78077702e-06 1.50630642e+02 1.50105708e+02 5.24933841e-01
1.58967968e-02 3.30747756e+02 3.29583760e+02 -1.49227064e-02 -1.51984865e-02 0.00000000e+00 3.30465281e+02 3.30480480e+02 3.30465281e+02 7.74960178e-06 1.50027926e+02 1.49499935e+02 5.27991255e-01
1.59869299e-02 3.29433249e+02 3.28262554e+02 -1.46923496e-02 -1.49639358e-02 0.00000000e+00 3.29150107e+02 3.29165071e+02 3.29150107e+02 7.71876017e-06 1.49431663e+02 1.48900633e+02 5.31030228e-01
1.60771423e-02 3.28115449e+02 3.26938121e+02 -1.44712399e-02 -1.47387140e-02 0.00000000e+00 3.27831650e+02 3.27846389e+02 3.27831650e+02 7.68784158e-06 1.48833906e+02 1.48299867e+02 5.34038659e-01
1.61674359e-02 3.26803455e+02 3.25619544e+02 -1.42528132e-02 -1.45162490e-02 0.00000000e+00 3.26519006e+02 3.26533523e+02 3.26519006e+02 7.65705931e-06 1.48238783e+02 1.47701758e+02 5.37024904e-01
1.62578123e-02 3.25492100e+02 3.24301664e+02 -1.40407203e-02 -1.43001936e-02 0.00000000e+00 3.25207010e+02 3.25221311e+02 3.25207010e+02 7.62629224e-06 1.47643949e+02 1.47103965e+02 5.39984252e-01
1.63482733e-02 3.24191828e+02 3.22994923e+02 -1.38280386e-02 -1.40836173e-02 0.00000000e+00 3.23906103e+02 3.23920187e+02 3.23906103e+02 7.59578519e-06 1.47054143e+02 1.46511224e+02 5.42918629e-01
1.64388206e-02 3.22892901e+02 3.21689574e+02 -1.36205843e-02 -1.38723396e-02 0.00000000e+00 3.22606547e+02 3.22620420e+02 3.22606547e+02 7.56530985e-06 1.46464946e+02 1.45919115e+02 5.45831901e-01
1.65294561e-02 3.21598501e+02 3.20388854e+02 -1.34173479e-02 -1.36653498e-02 0.00000000e+00 3.21311533e+02 3.21325199e+02 3.21311533e+02 7.53494102e-06 1.45877803e+02 1.45329105e+02 5.48698222e-01
1.66201818e-02 3.20303793e+02 3.19087848e+02 -1.32197217e-02 -1.34640383e-02 0.00000000e+00 3.20016216e+02 3.20029680e+02 3.20016216e+02 7.50456506e-06 1.45290521e+02 1.44738966e+02 5.51555338e-01
1.67109994e-02 3.19018233e+02 3.17796025e+02 -1.30225132e-02 -1.32632075e-02 0.00000000e+00 3.18730048e+02 3.18743311e+02 3.18730048e+02 7.47440367e-06 1.44707388e+02 1.44152992e+02 5.54396498e-01
1.68019111e-02 3.17737756e+02 3.16509400e+02 -1.28286089e-02 -1.30657452e-02 0.00000000e+00 3.17448980e+02 3.17462046e+02 3.17448980e+02 7.44436189e-06 1.44126561e+02 1.43569376e+02 5.57184947e-01
1.68929188e-02 3.16456920e+02 3.15222458e+02 -1.26405604e-02 -1.28742036e-02 0.00000000e+00 3.16167560e+02 3.16180435e+02 3.16167560e+02 7.41431184e-06 1.43545571e+02 1.42985616e+02 5.59954641e-01
1.69840246e-02 3.15179280e+02 3.13938769e+02 -1.24562446e-02 -1.26864562e-02 0.00000000e+00 3.14889345e+02 3.14902031e+02 3.14889345e+02 7.38433693e-06 1.42966031e+02 1.42403332e+02 5.62698449e-01
