# k, delta_cdm, delta_b, delta_g, delta_nu, delta_num, delta_tot, delta_nonu, delta_tot_nodm, phi, v_cdm, v_b, v_b_cdm
3.09524979e-04 6.28923566e+02 6.28899940e+02 2.91890539e+02 2.83821432e+02 0.00000000e+00 6.28818523e+02 3.44997091e+02 6.28818523e+02 1.47519819e-05 2.85281145e+02 2.85270428e+02 1.07165415e-02
3.30642400e-04 6.28712938e+02 6.28686643e+02 2.50655939e+02 2.42525214e+02 0.00000000e+00 6.28595254e+02 3.86070040e+02 6.28595254e+02 1.47462189e-05 2.85185603e+02 2.85173676e+02 1.19275355e-02
3.53203703e-04 6.28476246e+02 6.28447074e+02 2.10790325e+02 2.02760407e+02 0.00000000e+00 6.28346323e+02 4.25585916e+02 6.28346323e+02 1.47398468e-05 2.85078239e+02 2.85065007e+02 1.32327732e-02
3.77337101e-04 6.28210370e+02 6.28178117e+02 1.73279926e+02 1.65537581e+02 0.00000000e+00 6.28068908e+02 4.62531327e+02 6.28068908e+02 1.47328081e-05 2.84957637e+02 2.84943007e+02 1.46300440e-02
4.03175206e-04 6.27911944e+02 6.27876422e+02 1.39150844e+02 1.31899664e+02 0.00000000e+00 6.27759955e+02 4.95860291e+02 6.27759955e+02 1.47250417e-05 2.84822271e+02 2.84806158e+02 1.61128210e-02
4.30852844e-04 6.27577391e+02 6.27538435e+02 1.09369426e+02 1.02816453e+02 0.00000000e+00 6.27416178e+02 5.24599725e+02 6.27416178e+02 1.47164820e-05 2.84670517e+02 2.84652846e+02 1.76708139e-02
4.60504195e-04 6.27202977e+02 6.27160456e+02 8.47061365e+01 7.90430471e+01 0.00000000e+00 6.27034078e+02 5.47991031e+02 6.27034078e+02 1.47070590e-05 2.84500681e+02 2.84481394e+02 1.92875316e-02
4.92259281e-04 6.26784875e+02 6.26738710e+02 6.55782807e+01 6.09573052e+01 0.00000000e+00 6.26609958e+02 5.65652653e+02 6.26609958e+02 1.46966968e-05 2.84311030e+02 2.84290089e+02 2.09407871e-02
5.26239874e-04 6.26319262e+02 6.26269434e+02 5.19021666e+01 4.84100194e+01 0.00000000e+00 6.26139971e+02 5.77729951e+02 6.26139971e+02 1.46853138e-05 2.84099826e+02 2.84077224e+02 2.26021762e-02
5.62555043e-04 6.25802410e+02 6.25748976e+02 4.30055333e+01 4.06405816e+01 0.00000000e+00 6.25620191e+02 5.84979609e+02 6.25620191e+02 1.46728223e-05 2.83865381e+02 2.83841144e+02 2.42374553e-02
